2305	2497	2881	3025	3361	1921	2017	2353	2641	2497	
2497	2705	3121	3277	3641	2081	2185	2549	2861	2705	
2881	3121	3601	3781	4201	2401	2521	2941	3301	3121	
3025	3277	3781	3970	4411	2521	2647	3088	3466	3277	
3361	3641	4201	4411	4901	2801	2941	3431	3851	3641	
1921	2081	2401	2521	2801	1601	1681	1961	2201	2081	
2017	2185	2521	2647	2941	1681	1765	2059	2311	2185	
2353	2549	2941	3088	3431	1961	2059	2402	2696	2549	
2641	2861	3301	3466	3851	2201	2311	2696	3026	2861	
2497	2705	3121	3277	3641	2081	2185	2549	2861	2705	
